,Weekly_Sales,ARIMA_Forecast_Function,ARIMA_Predict_Function,SARIMA_Forecast_Function,SARIMA_Predict_Function
2010-02-05,1105572.0111111111,,,,
2010-02-12,1074148.3917777778,,,,
2010-02-19,1072822.084,,,,
2010-02-26,977079.3584444445,,,,
2010-03-05,1041588.2288888888,,,,
2010-03-12,1020564.3668888889,,,,
2010-03-19,999754.992,,,,
2010-03-26,980754.69,,,,
2010-04-02,1120529.5835555554,,,,
2010-04-09,1052562.0097777778,,,,
2010-04-16,1004081.4906666667,,,,
2010-04-23,994098.9457777778,,,,
2010-04-30,971225.0380000001,,,,
2010-05-07,1077849.8560000001,,,,
2010-05-14,1007335.1155555557,,,,
2010-05-21,1002669.0680000001,,,,
2010-05-28,1061277.8346666668,,,,
2010-06-04,1115300.958222222,,,,
2010-06-11,1062812.1493333334,,,,
2010-06-18,1058267.694,,,,
2010-06-25,1035756.362,,,,
2010-07-02,1087055.211111111,,,,
2010-07-09,1064433.986,,,,
2010-07-16,1027642.2128888889,,,,
2010-07-23,997529.9802222222,,,,
2010-07-30,991785.8537777779,,,,
2010-08-06,1071222.2026666666,,,,
2010-08-13,1032542.6313333334,,,,
2010-08-20,1045798.9537777778,,,,
2010-08-27,1020216.4542222222,,,,
2010-09-03,1048761.2802222222,,,,
2010-09-10,1014097.7297777777,,,,
2010-09-17,957349.478,,,,
2010-09-24,919078.0979999999,,,,
2010-10-01,938663.9082222221,,,,
2010-10-08,1002288.3162222222,,,,
2010-10-15,958877.1877777779,,,,
2010-10-22,957037.1004444443,,,,
2010-10-29,968951.7988888889,,,,
2010-11-05,1017377.3753333334,,,,
2010-11-12,1024995.5739999999,,,,
2010-11-19,1002790.7595555555,,,,
2010-11-26,1462688.960888889,,,,
2010-12-03,1109089.5084444445,,,,
2010-12-10,1237039.342,,,,
2010-12-17,1373795.5522222223,,,,
2010-12-24,1798475.9022222222,,,,
2010-12-31,898500.4222222222,,,,
2011-01-07,950573.0615555554,,,,
2011-01-14,903859.512,,,,
2011-01-21,903436.6228888889,,,,
2011-01-28,879996.7331111112,,,,
2011-02-04,1025624.6915555554,,,,
2011-02-11,1051915.3953333334,,,,
2011-02-18,1082581.4248888888,,,,
2011-02-25,980574.663111111,,,,
2011-03-04,1044013.4164444444,,,,
2011-03-11,991718.2088888888,,,,
2011-03-18,997162.7993333333,,,,
2011-03-25,952804.4262222222,,,,
2011-04-01,965755.3597777777,,,,
2011-04-08,1019721.4844444444,,,,
2011-04-15,999407.292,,,,
2011-04-22,1081704.2680000002,,,,
2011-04-29,967334.0617777779,,,,
2011-05-06,1041376.8508888888,,,,
2011-05-13,1009914.3293333333,,,,
2011-05-20,978813.2891111111,,,,
2011-05-27,1006521.2675555556,,,,
